,video,method,value
0,video_1,nafnet_reds,5.531261500382425
1,video_1,mffdnet,1.7248665754307657
2,video_1,real_blur,0.0
3,video_1,maxim_gopro,4.228222401137757
4,video_1,maxim_realblur_j,3.765513103477355
5,video_1,deblurgan_inception,5.114867046837766
6,video_1,maxim_reds,1.077199027605487
7,video_1,gt,6.35082512768998
8,video_2,maxim_reds,2.1022749221523123
9,video_2,real_blur,0.601904718535867
10,video_2,deblurgan_inception,3.430499336080321
11,video_2,gt,4.717071019589547
12,video_2,nafnet_reds,0.0
13,video_2,maxim_gopro,2.5503741042729846
14,video_2,mffdnet,0.351018002153916
15,video_2,maxim_realblur_j,1.8571292778533572
16,video_3,maxim_reds,1.299211912348718
17,video_3,deblurgan_inception,3.0500054385945994
18,video_3,maxim_realblur_j,5.045613860742019
19,video_3,gt,5.837823027495705
20,video_3,nafnet_reds,5.683589078029477
21,video_3,real_blur,0.0
22,video_3,mffdnet,1.134142270061076
23,video_3,maxim_gopro,5.392043167794694
24,video_4,maxim_realblur_j,0.6081550673889082
25,video_4,gt,1.7988097265062166
26,video_4,deblurgan_inception,2.1312238523520763
27,video_4,maxim_gopro,2.49733533863271
28,video_4,maxim_reds,1.0842334741960902
29,video_4,real_blur,0.0
30,video_4,mffdnet,0.13696508872756086
31,video_4,nafnet_reds,1.9500632015852557
32,video_5,deblurgan_inception,2.1964886439078026
33,video_5,gt,5.1316290272632585
34,video_5,maxim_gopro,0.804440901658066
35,video_5,real_blur,0.0
36,video_5,nafnet_reds,3.193305073048641
37,video_5,maxim_reds,0.8871801961420378
38,video_5,maxim_realblur_j,2.937364288316373
39,video_5,mffdnet,0.17154613155326937
40,video_6,nafnet_reds,9.78856525331555
41,video_6,maxim_realblur_j,11.18902910205105
42,video_6,maxim_gopro,6.110441047606207
43,video_6,maxim_reds,2.6055088321741264
44,video_6,gt,11.20783389126195
45,video_6,real_blur,0.0
46,video_6,mffdnet,3.4888693832621147
47,video_6,deblurgan_inception,8.028012574905302
48,video_7,maxim_reds,2.4404250005747095
49,video_7,deblurgan_inception,5.332341858097909
50,video_7,gt,6.121131213097212
51,video_7,nafnet_reds,3.7014405490250524
52,video_7,mffdnet,0.06838481345611891
53,video_7,maxim_gopro,3.2333099227993944
54,video_7,real_blur,0.0
55,video_7,maxim_realblur_j,4.4030661372445685
56,video_8,maxim_realblur_j,6.823035997267424
57,video_8,real_blur,0.059665766611434634
58,video_8,maxim_reds,1.397877567755998
59,video_8,maxim_gopro,1.1906959937139359
60,video_8,mffdnet,0.0
61,video_8,nafnet_reds,5.957993714328943
62,video_8,gt,8.15131579669281
63,video_8,deblurgan_inception,3.45466257449585
64,video_9,deblurgan_inception,3.748223276542661
65,video_9,maxim_realblur_j,3.3675844800951977
66,video_9,nafnet_reds,5.486476493839433
67,video_9,mffdnet,0.0
68,video_9,maxim_gopro,0.5151846839634677
69,video_9,real_blur,1.8100119618610964
70,video_9,gt,5.70994991561969
71,video_9,maxim_reds,2.72645409655603
72,video_10,real_blur,0.7334571279881759
73,video_10,nafnet_reds,2.9324641337280886
74,video_10,deblurgan_inception,2.2849602633242587
75,video_10,maxim_gopro,1.5627565240564423
76,video_10,gt,3.9897588436757676
77,video_10,maxim_realblur_j,0.9868468732341027
78,video_10,maxim_reds,1.5274972628891064
79,video_10,mffdnet,0.0
80,video_11,real_blur,0.0
81,video_11,deblurgan_inception,3.949955070867885
82,video_11,gt,7.836980991367106
83,video_11,maxim_reds,0.8455446389500182
84,video_11,nafnet_reds,5.472357217006953
85,video_11,mffdnet,1.0889875181038264
86,video_11,maxim_gopro,0.5107733416524722
87,video_11,maxim_realblur_j,3.159853808384889
88,video_12,gt,4.445645612240339
89,video_12,maxim_reds,1.3911737736701388
90,video_12,mffdnet,0.0
91,video_12,deblurgan_inception,1.9631517383316766
92,video_12,maxim_gopro,1.7287606672481641
93,video_12,real_blur,0.6162571920094679
94,video_12,nafnet_reds,4.212366829905289
95,video_12,maxim_realblur_j,4.177799910880257
96,video_13,gt,3.3223535868511362
97,video_13,maxim_gopro,2.5483912239162736
98,video_13,deblurgan_inception,2.3343041705878496
99,video_13,maxim_realblur_j,0.8380262822866693
100,video_13,nafnet_reds,0.9169990127170853
101,video_13,real_blur,0.0
102,video_13,mffdnet,1.7798749481269769
103,video_13,maxim_reds,0.8994459467564249
104,video_14,gt,6.957785667407406
105,video_14,real_blur,0.0
106,video_14,nafnet_reds,2.5296199500114485
107,video_14,maxim_reds,0.2946927756808577
108,video_14,deblurgan_inception,4.551528715368926
109,video_14,mffdnet,2.6812218265057446
110,video_14,maxim_realblur_j,1.301686038054437
111,video_14,maxim_gopro,0.3137459398474416
112,video_15,nafnet_reds,6.424120698538141
113,video_15,maxim_reds,1.2689925490360183
114,video_15,mffdnet,0.0
115,video_15,gt,7.416233088991889
116,video_15,real_blur,0.32238291305843614
117,video_15,maxim_gopro,1.2183790056478925
118,video_15,deblurgan_inception,3.453030365953199
119,video_15,maxim_realblur_j,6.622043367318295
120,video_16,maxim_realblur_j,5.776057222404176
121,video_16,real_blur,0.0
122,video_16,deblurgan_inception,5.341649466453634
123,video_16,gt,9.714359384571072
124,video_16,maxim_gopro,2.3407365679249397
125,video_16,mffdnet,3.4206366329996447
126,video_16,maxim_reds,1.8621093245019273
127,video_16,nafnet_reds,6.235903899947903
128,video_17,maxim_reds,1.7739259507483165
129,video_17,real_blur,1.6359547794478841
130,video_17,maxim_gopro,3.2443393534626814
131,video_17,mffdnet,2.214031760798135
132,video_17,nafnet_reds,0.0
133,video_17,deblurgan_inception,3.7086599498319783
134,video_17,gt,4.223450451738686
135,video_17,maxim_realblur_j,2.43998117653207
136,video_18,maxim_realblur_j,2.3967325661831222
137,video_18,mffdnet,0.4939788289509608
138,video_18,maxim_reds,1.432310182140562
139,video_18,deblurgan_inception,3.0254169489226315
140,video_18,nafnet_reds,2.894900393978401
141,video_18,gt,6.77264197408075
142,video_18,real_blur,0.0
143,video_18,maxim_gopro,1.4871440734809005
144,video_19,gt,10.651492992868835
145,video_19,maxim_gopro,0.35498822528534824
146,video_19,maxim_reds,0.40718771924414376
147,video_19,maxim_realblur_j,2.99921334836593
148,video_19,real_blur,0.0
149,video_19,mffdnet,3.3439449738677727
150,video_19,deblurgan_inception,5.615117890758714
151,video_19,nafnet_reds,7.916701905337151
152,video_20,maxim_reds,1.1033387121775566
153,video_20,gt,7.7938848123922515
154,video_20,maxim_gopro,0.8299742278642703
155,video_20,deblurgan_inception,4.915669021495753
156,video_20,maxim_realblur_j,2.9179557302980954
157,video_20,real_blur,0.0
158,video_20,mffdnet,2.1384440916332528
159,video_20,nafnet_reds,5.767636061967423
160,video_21,real_blur,0.0
161,video_21,maxim_reds,2.4883704296817903
162,video_21,maxim_gopro,1.5401022945201384
163,video_21,gt,9.510850952053048
164,video_21,deblurgan_inception,6.60300285526646
165,video_21,maxim_realblur_j,6.688651714720281
166,video_21,mffdnet,2.585497081890111
167,video_21,nafnet_reds,5.151422014700946
168,video_22,maxim_gopro,2.4120834528367543
169,video_22,real_blur,0.0
170,video_22,gt,5.250170410148041
171,video_22,deblurgan_inception,3.046902377583021
172,video_22,maxim_reds,0.8240048635333723
173,video_22,nafnet_reds,3.600695922550709
174,video_22,mffdnet,1.2605911513636046
175,video_22,maxim_realblur_j,1.4534998874489657
176,video_23,deblurgan_inception,3.564112246583111
177,video_23,maxim_reds,1.7610301620372442
178,video_23,gt,6.807016252502745
179,video_23,maxim_gopro,2.3244747862844166
180,video_23,real_blur,0.0
181,video_23,maxim_realblur_j,1.6758921557413908
182,video_23,nafnet_reds,4.44458847298468
183,video_23,mffdnet,1.3254011545951494
184,video_24,maxim_realblur_j,5.8781477086211655
185,video_24,real_blur,0.0
186,video_24,deblurgan_inception,4.035872926407826
187,video_24,maxim_gopro,5.9249969102047455
188,video_24,nafnet_reds,6.108420440154699
189,video_24,gt,6.997611078144029
190,video_24,mffdnet,1.474081871326912
191,video_24,maxim_reds,0.9918133008324581
192,video_25,mffdnet,0.6183831446548399
193,video_25,nafnet_reds,5.160090238069886
194,video_25,real_blur,0.0
195,video_25,deblurgan_inception,4.010080125609947
196,video_25,maxim_realblur_j,4.464992478995567
197,video_25,gt,8.362363725940206
198,video_25,maxim_gopro,1.3988895911340715
199,video_25,maxim_reds,0.7597257178168847
200,video_26,maxim_realblur_j,5.463089863609698
201,video_26,deblurgan_inception,4.4644650289224925
202,video_26,gt,6.432827350870007
203,video_26,mffdnet,1.1616174608653935
204,video_26,nafnet_reds,7.343051972487899
205,video_26,maxim_gopro,2.6947676129750646
206,video_26,maxim_reds,1.6298455787570512
207,video_26,real_blur,0.0
208,video_27,gt,7.748471276870683
209,video_27,nafnet_reds,5.253966021582484
210,video_27,deblurgan_inception,4.354705880911565
211,video_27,maxim_gopro,4.2445484701092075
212,video_27,mffdnet,1.0742351433421353
213,video_27,real_blur,0.0
214,video_27,maxim_reds,4.163500933727981
215,video_27,maxim_realblur_j,3.5550984891085067
216,video_28,deblurgan_inception,3.5480713075165755
217,video_28,nafnet_reds,5.237386560076594
218,video_28,maxim_reds,4.7128937820455
219,video_28,maxim_gopro,5.422083706899123
220,video_28,mffdnet,0.3906618129033541
221,video_28,gt,9.559478403783848
222,video_28,real_blur,0.0
223,video_28,maxim_realblur_j,6.097216485805088
224,video_29,maxim_realblur_j,4.206554109045558
225,video_29,nafnet_reds,3.5922477911918786
226,video_29,maxim_gopro,3.8241259527867877
227,video_29,maxim_reds,1.4449127206378232
228,video_29,real_blur,0.0
229,video_29,gt,6.313342326791255
230,video_29,mffdnet,0.630292880793033
231,video_29,deblurgan_inception,4.3887112245647035
232,video_30,real_blur,0.05309553533408496
233,video_30,gt,1.9550145005758846
234,video_30,maxim_realblur_j,0.47476569910002225
235,video_30,nafnet_reds,3.48598455669393
236,video_30,mffdnet,0.0
237,video_30,deblurgan_inception,2.557837288554111
238,video_30,maxim_reds,2.2720321317622894
239,video_30,maxim_gopro,2.7572566804957304
240,video_31,mffdnet,2.644835388168655
241,video_31,nafnet_reds,4.080035050501151
242,video_31,maxim_gopro,1.850934902306951
243,video_31,real_blur,0.0
244,video_31,maxim_realblur_j,6.0209456301724185
245,video_31,maxim_reds,1.1122328816761027
246,video_31,deblurgan_inception,4.119133973192284
247,video_31,gt,9.061742321816283
248,video_32,gt,7.205496485308023
249,video_32,maxim_gopro,1.3559228737236948
250,video_32,maxim_reds,0.18835380012688052
251,video_32,deblurgan_inception,0.997884237796681
252,video_32,real_blur,0.0
253,video_32,maxim_realblur_j,1.7567902970420448
254,video_32,nafnet_reds,4.378040127635918
255,video_32,mffdnet,0.692676133899977
256,video_33,maxim_gopro,0.6975707825924685
257,video_33,maxim_realblur_j,3.1174057580952916
258,video_33,gt,7.370929207841802
259,video_33,deblurgan_inception,3.828215627215916
260,video_33,nafnet_reds,5.285536218732498
261,video_33,maxim_reds,0.0
262,video_33,mffdnet,0.0005719626856872662
263,video_33,real_blur,0.04585984657262443
264,video_34,maxim_reds,2.3926607588732347
265,video_34,maxim_realblur_j,6.164279655441693
266,video_34,real_blur,0.0
267,video_34,mffdnet,2.5182295046939234
268,video_34,gt,8.637805143096593
269,video_34,nafnet_reds,5.072310133759576
270,video_34,deblurgan_inception,5.917145865720066
271,video_34,maxim_gopro,3.1954728939315937
272,video_35,maxim_realblur_j,4.97702781456999
273,video_35,deblurgan_inception,4.685945488162452
274,video_35,real_blur,0.0
275,video_35,mffdnet,1.2119037164351174
276,video_35,maxim_gopro,4.883120296245742
277,video_35,nafnet_reds,4.878720238673961
278,video_35,gt,6.505417732044146
279,video_35,maxim_reds,1.0108012042623624
280,video_36,deblurgan_inception,3.5089124417304873
281,video_36,maxim_reds,1.3802028249358944
282,video_36,real_blur,0.044297507303914685
283,video_36,mffdnet,0.0
284,video_36,gt,5.473850028006282
285,video_36,maxim_realblur_j,0.06570688072354258
286,video_36,maxim_gopro,3.261903846109087
287,video_36,nafnet_reds,3.604767874713233
288,video_37,maxim_gopro,4.540459244862138
289,video_37,deblurgan_inception,4.8384762488475666
290,video_37,nafnet_reds,6.179369552486918
291,video_37,maxim_reds,1.7823848624317238
292,video_37,mffdnet,1.0195522977116864
293,video_37,gt,7.0567342267439335
294,video_37,real_blur,0.0
295,video_37,maxim_realblur_j,5.661771448687325
296,video_38,gt,8.108497794402071
297,video_38,maxim_gopro,1.4300223214879484
298,video_38,real_blur,0.0
299,video_38,deblurgan_inception,5.257916844918016
300,video_38,nafnet_reds,6.80311199371548
301,video_38,maxim_reds,1.7549107444124505
302,video_38,mffdnet,1.4390966763491537
303,video_38,maxim_realblur_j,5.394491729002798
304,video_39,maxim_gopro,1.4991963646560116
